197.404449,39.253334
214.186676,66.844444
226.702225,108.942223
200.817780,120.888893
181.760010,112.071114
181.760010,100.408890
206.506668,141.653336
186.026672,149.048889
169.244446,155.591110
187.164444,150.755554
199.111115,152.746674
203.377777,162.133331
191.715561,162.417786
201.102234,178.346664
205.368896,201.671112
190.577789,216.746674
147.342224,200.817780
88.462227,171.520004
43.520000,100.124451
36.408890,59.448891
176.071121,28.444445
154.168900,26.168890
137.671112,34.986668
169.244446,41.528889
143.928894,48.924446
166.684448,50.915558
201.955566,22.186666
200.817780,5.973333
